Area,Element or selector,Description,Content source,Font family,Desktop size,Mobile size,Weight,Line height,Adjustment notes
Global website,.website,Overall site content width is 70 percent of viewport; no global live body font is defined,CSS layout only,N/A,N/A,N/A,N/A,N/A,Most visible typography is inside image slides
Home - Slide 1,#home img,Homepage hero and navigation artwork,images/Slide1.PNG,Typography baked into image,N/A,N/A,N/A,N/A,Do not adjust with CSS; use the source image if the artwork text must change
Home navigation,.hotspot links,Invisible click targets over Slide 1,HTML and CSS,N/A,N/A,N/A,N/A,N/A,These links have no visible text
Decision - Slide 2,#decision img,You Make the Decision artwork,images/Slide2.PNG,Typography baked into image,N/A,N/A,N/A,N/A,Do not adjust with CSS
How It Works - Slide 3,#how-it-works img,How WeSearch Works artwork,images/Slide3.PNG,Typography baked into image,N/A,N/A,N/A,N/A,Do not adjust with CSS
Research Process - Slide 4,#research-process img,Our Research Process artwork,images/Slide4.PNG,Typography baked into image,N/A,N/A,N/A,N/A,Do not adjust with CSS
Services - Slide 5,#services img,Services artwork,images/Slide5.PNG,Typography baked into image,N/A,N/A,N/A,N/A,Do not adjust with CSS
About - Slide 6,#about img,Meet Jodi artwork,images/Slide6.PNG,Typography baked into image,N/A,N/A,N/A,N/A,Do not adjust with CSS
FAQ,#faqs .faq-inner h2,FAQ main heading,Live HTML,WeSearch Aptos,37px,28px,700,1.15,Live text can be adjusted in styles.css
FAQ,#faqs .faq-intro,Short explanatory introduction,Live HTML,WeSearch Aptos,27px,18px,700,1.2,This is larger than normal explanatory body text
FAQ,#faqs details.faq-row summary,Clickable FAQ questions,Live HTML,WeSearch Aptos,20px,17px,700,1.15,Question text size; separate from the icon size
FAQ,#faqs details.faq-row p,Expanded FAQ answers,Live HTML,WeSearch Aptos,18px,16px,400,1.45,Recommended explanatory text sizing
FAQ icons,#faqs details.faq-row summary::before,Left decorative chevron,Generated by CSS,WeSearch Aptos inherited,40px,40px,700,N/A,This is an icon, not the question font; oversized on narrow cards
FAQ icons,#faqs details.faq-row summary::after,Right plus or minus control,Generated by CSS,WeSearch Aptos inherited,40px,40px,700,N/A,This is an icon, not the question font; reduce separately if needed
Contact - Slide 8,#contact img,Contact artwork and visible contact copy,images/Slide8.PNG,Typography baked into image,N/A,N/A,N/A,N/A,Do not adjust with CSS
Contact links,.contact-email through .contact-get-started,Invisible click targets over Slide 8,HTML and CSS,N/A,N/A,N/A,N/A,N/A,These links have no visible text
Footer,.legal-title,LEGAL heading,Live HTML,Montserrat ExtraBold,24px,24px,800,N/A,Footer does not currently define a mobile size override
Footer,.legal-links,Terms and policy links,Live HTML,Aptos,20px,20px,400,N/A,Footer does not currently define a mobile size override
Footer,.copyright,Copyright line,Live HTML,Arial,14px,14px,400,N/A,Footer does not currently define a mobile size override
Font definitions,@font-face,Local font mapping used by FAQ and branding,CSS font-face,WeSearch Aptos,N/A,N/A,400 and 700-800,N/A,Uses local Aptos or Aptos Display when installed; otherwise falls back to sans-serif
